CropVideoFrom,CropVideoTill,CropAudioFrom,CropAudioTill,,BackgroundVid,AudioFile,FontSize,FontPosition,FontColour,OutputDire
00:00:00,00:00:15,00:00:00,00:00:15,00:00:15,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:03:36,00:00:15,00:03:51,00:03:36,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:19,00:03:51,00:04:10,00:00:19,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:41,00:04:10,00:04:51,00:00:41,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:44,00:04:51,00:05:35,00:00:44,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:37,00:05:35,00:06:12,00:00:37,image2.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:48,00:06:12,00:07:00,00:00:48,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:01:00,00:07:00,00:08:00,00:01:00,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:35,00:08:00,00:08:35,00:00:35,image2.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:24,00:08:35,00:08:59,00:00:24,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00.00:11,00:08:59,00:09:10,00:00:11,image3.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:07,00:09:10,00:09:17,00:00:07,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:08,00:09:17,00:09:25,00:00:08,image4.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:27,00:09:17,00:09:44,00:00:27,image5.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:11,00:09:44,00:09:55,00:00:11,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:09:55,00:10:05,00:00:10,image6.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:10:05,00:10:15,00:00:10,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:10:15,00:10:25,00:00:10,image7.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:20,00:10:25,00:10:45,00:00:20,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:05,00:10:45,00:10:50,00:00:05,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:10:50,00:11:00,00:00:10,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:11:00,00:11:10,00:00:10,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:11:10,00:11:20,00:00:10,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:17,00:11:20,00:11:37,00:00:17,image8.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:10,00:11:37,00:11:47,00:00:10,image9.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:20,00:11:47,00:12:07,00:00:20,image10.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:00:53,00:12:07,00:13:00,00:00:53,image1.mp4,Audio5.mp3,70,South,black,E:\Techhelps\Jan24\Final\VideoOutput
00:00:00,00:01:00,00:13:00,00:14:00,00:01:00,b.mp4,Audio5.mp3,70,center,white,E:\Techhelps\Jan24\Final\VideoOutput